pais_nome;cases;pib_total_usd;pib_per_capita_usd;taxa_desemprego;expectativa_vida_anos;gasto_saude_pct_pib;taxa_alfabetizacao_pct;taxa_escolarizacao_pct
Afghanistan;209507.0;17233051620.1117;415.707417059086;13.991;66.035;23.0881691;37.0;110.007507324219
Albania;334457.0;23547179830.4413;8575.17113446213;10.108;79.602;6.19368076;98.5;93.7138137817383
Algeria;271496.0;247626161016.414;5364.02795022731;11.701;76.261;3.6230433;81.4078369140625;108.761642456055
American Samoa;-;871000000.0;18017.4589383973;-;72.852;-;-;-
Andorra;47890.0;3785067331.7625;46812.4484486309;-;84.041;7.92821121;-;97.6228637695312
Angola;105288.0;84824654481.7249;2308.15976731274;14.537;64.617;2.92737579;72.4000015258789;86.7067961582083
Antigua and Barbuda;9108.0;2033085185.18518;21787.1017315914;-;77.598;5.7299943;99.0;112.122237257555
Argentina;10044957.0;646075277525.125;14187.4827252965;6.139;77.395;9.86305332;97.0;108.722412109375
Armenia;447308.0;24085749592.3359;8053.01066312345;13.245;77.4658536585366;9.96212864;100.0;93.8079528808594
Aruba;-;3648573136.15155;33984.7906198041;-;76.353;-;97.9899978637695;104.667572021484
Australia;11429109.0;1728057316695.61;64820.9117890026;3.668;83.0512195121951;9.92687893;-;99.1329879760742
Austria;5974100.0;511685203845.001;56033.573792065;5.264;81.5414634146342;10.87779903;-;100.77562713623
Azerbaijan;828850.0;72356176470.5882;7125.90858368611;5.636;74.429;3.97840643;100.0;101.979698181152
Bahamas, The;-;14338500000.0;35896.50510715;8.643;74.552;7.21692038;-;77.9319305419922
Bahrain;710693.0;46079867021.2766;29218.8605634137;1.154;81.284;3.83745313;98.0;93.7412872314453
Bangladesh;2037871.0;437415331040.994;2551.01772674142;4.454;74.672;2.39038587;76.0;111.595384386687
Barbados;106798.0;6720733200.0;23804.0249914995;7.878;76.178;6.29389191;-;93.4459228515625
Belarus;994037.0;71857382745.6066;7829.05313660622;3.461;74.1837804878049;6.65919876;100.0;94.7357864379883
Belgium;4739365.0;644782756682.756;54700.9093236712;5.528;82.3975609756098;10.76192474;-;102.176986694336
Belize;70757.0;3066850000.0;7459.99815132837;8.267;73.566;4.23173904;90.9160385131836;96.9522933959961
Benin;28208.0;19676049075.7011;1394.37330217623;1.657;60.774;2.67981386;47.0999984741211;113.04891204834
Bermuda;-;8141700000.0;125841.602522489;-;82.309;-;-;86.3020706176758
Bhutan;62627.0;2898227743.13545;3711.32767902157;3.126;72.975;4.38545895;72.0999984741211;106.082127409623
Bolivia;1194277.0;45135398008.8166;3686.27996490544;3.024;68.581;8.43142891;94.0;98.9345397949219
Bosnia and Herzegovina;-;27514782476.0406;8638.66620201187;10.668;77.85;8.71644783;98.3000030517578;87.2372436523438
Botswana;331718.0;19396084498.0084;7820.23240375076;23.381;69.163;5.72838593;86.8231811523438;96.9256945502565
Brazil;37102068.0;2173665655937.27;10294.866680778;7.947;75.848;9.14277458;94.6900024414062;103.970321655273
British Virgin Islands;-;-;-;-;77.276;-;-;101.18147277832
Brunei Darussalam;-;15128292980.8638;32962.9065121916;5.183;75.327;1.81768215;97.5899963378906;93.4857364265995
Bulgaria;1297523.0;102407653020.606;15885.5391311331;4.319;75.7073170731707;7.66357517;98.4199981689453;95.8885192871094
Burkina Faso;22056.0;20324617844.5265;882.689810086163;5.348;61.092;6.77182007;34.4900016784668;72.3235702514648
Burundi;53631.0;2642161668.85211;193.007145564804;0.921;63.651;8.39522648;75.5400009155273;105.158096313477
Cabo Verde;63244.0;2533819406.4916;4850.98415849643;11.971;76.059;6.67440224;91.0;96.402099609375
Cambodia;138719.0;42335646895.7984;2429.74853452838;0.225;70.668;4.71089554;83.7799987792969;111.392143004927
Cameroon;124392.0;49279410982.826;1736.86091073524;3.613;63.7;4.47835922;78.2300033569336;112.64232635498
Canada;4633056.0;2142470914401.36;53431.1857063879;5.415;81.6465853658537;11.22370815;-;96.0115737915039
Cayman Islands;-;7139428557.71423;97749.5078960846;-;80.358;-;99.0;87.9807662963867
Central African Republic;15368.0;2555492085.24831;495.978897153068;5.877;57.408;9.95509052;37.4900016784668;110.711418726824
Chad;7679.0;13149325362.3347;680.639877912029;1.074;55.069;4.52549791;27.2800006866455;91.7743682861328
Channel Islands;-;12507927144.1342;74589.1380225191;6.187;81.1;-;-;-
Chile;5192286.0;335533331669.219;17067.8136150601;9.013;81.167;10.09532642;97.1600036621094;100.192268371582
China;4902996.0;17794783039552.0;12614.0617416421;4.67;77.953;5.36948681;97.0;99.323860168457
Colombia;6359093.0;363493841244.303;6947.35928681966;9.594;77.725;7.69168758;96.0;104.830467224121
Comoros;9008.0;1352380971.24055;1590.31237688317;3.776;66.777;8.3803854;61.7099990844727;94.6890732468269
Congo, Dem. Rep.;-;66383287002.9867;627.502181690836;4.484;61.895;3.78614616;80.5400009155273;119.937561035156
Congo, Rep.;-;15321055822.5167;2477.97845544866;19.898;65.772;2.19224548;80.6100006103516;89.0000305175781
Costa Rica;1209725.0;86497941439.0174;16942.0268119375;8.325;80.799;7.18368196;98.0400009155273;107.611297607422
